ParliamentNumber,Party,PrimeMinister,Minority,SessionNumber,StartDate,EndDate,Duration,SenateSittings,HouseSittings
35,Liberal Party,Jean Chrétien,False,1,1994-01-17,1996-02-02,746 days,133.0,278
35,Liberal Party,Jean Chrétien,False,2,1996-02-27,1997-04-27,425 days,96.0,164
36,Liberal Party,Jean Chrétien,False,1,1997-09-22,1999-09-18,726 days,158.0,243
36,Liberal Party,Jean Chrétien,False,2,1999-10-12,2000-10-22,376 days,84.0,133
37,Liberal Party,Jean Chrétien,False,1,2001-01-29,2002-09-16,595 days,124.0,211
37,Liberal Party,Jean Chrétien,False,2,2002-09-30,2003-11-12,408 days,97.0,153
37,Liberal Party,Jean Chrétien,False,3,2004-02-02,2004-05-23,111 days,42.0,55
38,Liberal Party,Paul Martin,True,1,2004-10-04,2005-11-29,421 days,100.0,159
39,Conservative Party,Stephen Harper,True,1,2006-04-03,2007-09-14,529 days,113.0,175
39,Conservative Party,Stephen Harper,True,2,2007-10-16,2008-09-07,327 days,73.0,117
40,Conservative Party,Stephen Harper,True,1,2008-11-18,2008-12-04,16 days,8.0,13
40,Conservative Party,Stephen Harper,True,2,2009-01-26,2009-12-30,338 days,83.0,128
40,Conservative Party,Stephen Harper,True,3,2010-03-03,2011-03-26,388 days,99.0,149
41,Conservative Party,Stephen Harper,False,1,2011-06-02,2013-09-13,834 days,181.0,272
41,Conservative Party,Stephen Harper,False,2,2013-10-16,2015-08-02,655 days,162.0,235
42,Liberal Party,Justin Trudeau,False,1,2015-12-03,2019-09-11,1378 days,308.0,442
43,Liberal Party,Justin Trudeau,True,1,2019-12-05,2020-08-18,257 days,29.0,45
43,Liberal Party,Justin Trudeau,True,2,2020-09-23,2021-08-15,326 days,56.0,124
44,Liberal Party,Justin Trudeau,True,1,2021-11-22,,410 days,95.0,150
